kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,nn6Xb3HJ1karzSVQZWUi18aPyq0,Ugzc09gXPF1A5Lp_8254AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'p02242dBLhlu4JEzkX9NHSLhX4w', 'id': 'Ugzc09gXPF1A5Lp_8254AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'Com fé em Deus,  Brasil unido para eleger Bolsonaro  e evitar o comunismo', 'textOriginal': 'Com fé em Deus,  Brasil unido para eleger Bolsonaro  e evitar o comunismo', 'authorDisplayName': 'Maria', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMSap2sMRZDaa6KG4z80mM_dU5YSSf9UQgiWFC8WQI2N0__S7erhuq77OLUVUwR=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOMKwZJ_25SCCKjGBOSa1Vw', 'authorChannelId': {'value': 'UCOMKwZJ_25SCCKjGBOSa1Vw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T19:09:21Z', 'updatedAt': '2022-10-26T19:09:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOMKwZJ_25SCCKjGBOSa1Vw,2022-10-26T19:09:21Z,"Com fé em Deus,  Brasil unido para eleger Bolsonaro  e evitar o comunismo",,2023-06-09 12:23:26.144260
youtube#commentThread,G8TbwBcruaZ6bC3KY2GFa818sHc,UgxjMUBTK8QVUW4jJuN4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xFOeawI9Y2WdOsBQ45mwGJlh3gk', 'id': 'UgxjMUBTK8QVUW4jJuN4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'AVOZ DO POVO E A VOZ DE DEUS  JAIR MESSIAS BOUSONARO E A AOLUCAO.', 'textOriginal': 'AVOZ DO POVO E A VOZ DE DEUS  JAIR MESSIAS BOUSONARO E A AOLUCAO.', 'authorDisplayName': 'Paulo César Escaleira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPVOzLPaDK2HxYihywsnJYj2q6-xpFEdQh0BA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOu_KtKfTcrRn9YQHrOuSNQ', 'authorChannelId': {'value': 'UCOu_KtKfTcrRn9YQHrOuSNQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T16:07:00Z', 'updatedAt': '2022-10-26T16:07:00Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOu_KtKfTcrRn9YQHrOuSNQ,2022-10-26T16:07:00Z,AVOZ DO POVO E A VOZ DE DEUS  JAIR MESSIAS BOUSONARO E A AOLUCAO.,,2023-06-09 12:23:26.144260
youtube#commentThread,eZB3iJBuUAIqVvNUA8pwWDwH0E0,UgyrcILFfSZV-fpsB7B4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'bMBLXpm1MaLTt-t2C-jk5Ppg0jo', 'id': 'UgyrcILFfSZV-fpsB7B4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'Parabéns nordestinos,não queremos mais ladroagem é nem corrupção!!!PT nunca mais!!!!😇😇', 'textOriginal': 'Parabéns nordestinos,não queremos mais ladroagem é nem corrupção!!!PT nunca mais!!!!😇😇', 'authorDisplayName': 'Julio Cesar Ferreira dos Reis', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMXzPZ1rHJ65gCoPUhkczEeOHI-foEjCHnvpbIAoyLcVS16lHZLU8tqT9M54VTo=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCJHbWyjMVzqDG3K7fH6jkGg', 'authorChannelId': {'value': 'UCJHbWyjMVzqDG3K7fH6jkGg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T15:40:40Z', 'updatedAt': '2022-10-26T15:40:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCJHbWyjMVzqDG3K7fH6jkGg,2022-10-26T15:40:40Z,"Parabéns nordestinos,não queremos mais ladroagem é nem corrupção!!!PT nunca mais!!!!😇😇",,2023-06-09 12:23:26.144260
youtube#commentThread,9PXBxGEhnNu-XwrhztPTx5LyF6g,Ugw6LUcaAUp3_YY60814AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MsTIUKaOj1qa5w-s7n69USCB204', 'id': 'Ugw6LUcaAUp3_YY60814AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'O MEU MAIOR ERRO NA VIDA SERIA SE NÃO VOLTASSE A REPETIR MEU VOTO AO BOLSONARO 22', 'textOriginal': 'O MEU MAIOR ERRO NA VIDA SERIA SE NÃO VOLTASSE A REPETIR MEU VOTO AO BOLSONARO 22', 'authorDisplayName': 'Marcus Aurélio Ehret Lôbo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqONiG3iYNFSvzUhqflpsWsezVZI4v7Lq1uxFQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCckoAMCuh_KX2hPqLDkY4qw', 'authorChannelId': {'value': 'UCckoAMCuh_KX2hPqLDkY4qw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T14:39:26Z', 'updatedAt': '2022-10-26T14:39:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCckoAMCuh_KX2hPqLDkY4qw,2022-10-26T14:39:26Z,O MEU MAIOR ERRO NA VIDA SERIA SE NÃO VOLTASSE A REPETIR MEU VOTO AO BOLSONARO 22,,2023-06-09 12:23:26.144260
youtube#commentThread,gqOS6s6M23dZfKmA7dP-TJFZgQw,UgyLwO2VpJj9yY2dIkJ4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ypzArWceuivEwHaH1HCJyHlUiMs', 'id': 'UgyLwO2VpJj9yY2dIkJ4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'Vamos vencer🇧🇷🇧🇷🇧🇷', 'textOriginal': 'Vamos vencer🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Marcos Ribeiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNXvlC6JcXCnAKC8jyba0mWZU_yNm76k2S-TA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_urevyXlXg6LciUaEp96dw', 'authorChannelId': {'value': 'UC_urevyXlXg6LciUaEp96dw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T12:18:16Z', 'updatedAt': '2022-10-26T12:18:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_urevyXlXg6LciUaEp96dw,2022-10-26T12:18:16Z,Vamos vencer🇧🇷🇧🇷🇧🇷,,2023-06-09 12:23:26.144260
youtube#commentThread,w4RRktX6IZimDM6tks4dJENsn7I,UgzXA4tftnmWLDy5r3F4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jIWbUHAm-E-6Z3cnofpGOtHh6gg', 'id': 'UgzXA4tftnmWLDy5r3F4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'Meu  pouvo  Baiano  . Eu  do  ceará. Parabéns prá todos vocês. Dá Bahia  vocês  são  inteligentes. A entender que o nosso presidente Bolsonario é  melhor  prá  o nosso Brasil  . Parabéns  .🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷⚽️🏀🎾🇧🇷 .', 'textOriginal': 'Meu  pouvo  Baiano  . Eu  do  ceará. Parabéns prá todos vocês. Dá Bahia  vocês  são  inteligentes. A entender que o nosso presidente Bolsonario é  melhor  prá  o nosso Brasil  . Parabéns  .🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷⚽️🏀🎾🇧🇷 .', 'authorDisplayName': 'Francisco Sousa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMA4m3nOzNfjLnDIbVvcQEC7vKT4r8uj6a8k97xRKqECaplZJlDZMH4KKVqERMo=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7M8KzoM_5snUj-Zoz9G9Rg', 'authorChannelId': {'value': 'UC7M8KzoM_5snUj-Zoz9G9Rg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T11:59:10Z', 'updatedAt': '2022-10-26T11:59:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7M8KzoM_5snUj-Zoz9G9Rg,2022-10-26T11:59:10Z,Meu  pouvo  Baiano  . Eu  do  ceará. Parabéns prá todos vocês. Dá Bahia  vocês  são  inteligentes. A entender que o nosso presidente Bolsonario é  melhor  prá  o nosso Brasil  . Parabéns  .🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷⚽️🏀🎾🇧🇷 .,,2023-06-09 12:23:26.144260
youtube#commentThread,mPyh9DlwUSPo6Fwh9XiIUtfPatE,Ugx46HggbP7fCSa6_6x4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2h_NXa4H48t9g1LcnRxNQwnUp0M', 'id': 'Ugx46HggbP7fCSa6_6x4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'O que desilude a gente e saber que não tem como conferir os votos e os ministros do STE tomar tapinhas na cara do Lula e ser os mesmos que contam os votos', 'textOriginal': 'O que desilude a gente e saber que não tem como conferir os votos e os ministros do STE tomar tapinhas na cara do Lula e ser os mesmos que contam os votos', 'authorDisplayName': 'Marcus Ungaro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMNf90k6z5Zqbvww6Tbsy67iJxAiA7LDh49qQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCeo7ALpAC3vjFdS4dcEA0FQ', 'authorChannelId': {'value': 'UCeo7ALpAC3vjFdS4dcEA0FQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T10:23:30Z', 'updatedAt': '2022-10-26T10:23:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCeo7ALpAC3vjFdS4dcEA0FQ,2022-10-26T10:23:30Z,O que desilude a gente e saber que não tem como conferir os votos e os ministros do STE tomar tapinhas na cara do Lula e ser os mesmos que contam os votos,,2023-06-09 12:23:26.144260
youtube#commentThread,7SsBiAIT_lSve9lN-H3KHg_m18o,Ugxv6yaRg2X9cuYS_0Z4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2wkIuy5nFjYwAJXeSWsOFyWCbJs', 'id': 'Ugxv6yaRg2X9cuYS_0Z4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'SIM 22', 'textOriginal': 'SIM 22', 'authorDisplayName': 'DJ NILSINHO SILVA MG OFICIAL 2023', 'authorProfileImageUrl': 'https://yt3.ggpht.com/jCRppxWAgWVSeyFiW0ED-7w2XVWtrN-5GL3rsHAJneI9ohLrt-j_kBqQNgKf5mASSRNaXQ44uxM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYBAAfySj8FjAqV7toK1Arw', 'authorChannelId': {'value': 'UCYBAAfySj8FjAqV7toK1Arw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T10:03:17Z', 'updatedAt': '2022-10-26T10:03:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYBAAfySj8FjAqV7toK1Arw,2022-10-26T10:03:17Z,SIM 22,,2023-06-09 12:23:26.144260
youtube#commentThread,TjUq_S81qf7YfXP6RaO8zJyDWAQ,Ugxmhw5nBqtHVr-8Bth4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'r-EZ1TsyPQKKUr1xuRlmQJd7GpU', 'id': 'Ugxmhw5nBqtHVr-8Bth4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'É LULA PRESIDENTE!!', 'textOriginal': 'É LULA PRESIDENTE!!', 'authorDisplayName': 'Rafael', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOTTPvfdeR3S-SpdV_FA8vQyQ7LHh5RPq3kqswSZpo4qfuP2sCSuL4oPMxkZg0O=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCk3qfgDNnSU4jMQGSRDpy8A', 'authorChannelId': {'value': 'UCk3qfgDNnSU4jMQGSRDpy8A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T05:34:35Z', 'updatedAt': '2022-10-26T05:34:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCk3qfgDNnSU4jMQGSRDpy8A,2022-10-26T05:34:35Z,É LULA PRESIDENTE!!,,2023-06-09 12:23:26.144260
youtube#commentThread,5UmAymf1WjLoSJUjtc5XJ_ne6Vo,Ugwnv581sZB3RGisTEN4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'WMwE0Nr3Y_YbiATp1EHVC9UBejw', 'id': 'Ugwnv581sZB3RGisTEN4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'Parabéns,Patriotas orgulho do Brasil🇧🇷💚💙', 'textOriginal': 'Parabéns,Patriotas orgulho do Brasil🇧🇷💚💙', 'authorDisplayName': 'Maria Inês De Almeida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNrx7-ofv70tmPKrONoCquzzzbZ4VH2U8pKZB-s1Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCliPOwkysdSFTqcy4dbGW-w', 'authorChannelId': {'value': 'UCliPOwkysdSFTqcy4dbGW-w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T02:53:00Z', 'updatedAt': '2022-10-26T02:53:00Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCliPOwkysdSFTqcy4dbGW-w,2022-10-26T02:53:00Z,"Parabéns,Patriotas orgulho do Brasil🇧🇷💚💙",,2023-06-09 12:23:26.144260
youtube#commentThread,9aahltuxNwEY-LomQ4pED50_fgk,Ugw6btGWMnSo9CTamCh4AaABAg,"{'videoId': 'cDbVz1LQbbk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3912-fN21-HcznfQzfAz3lxabcA', 'id': 'Ugw6btGWMnSo9CTamCh4AaABAg', 'snippet': {'videoId': 'cDbVz1LQbbk', 'textDisplay': 'Esse é o nosso presidente', 'textOriginal': 'Esse é o nosso presidente', 'authorDisplayName': 'Celi Dalva Bastos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNuphf5sq0ONgWPVHpsMTG7YkRfSkJzGznBQg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCK9fMLUEnukzrrAUr6yyZeg', 'authorChannelId': {'value': 'UCK9fMLUEnukzrrAUr6yyZeg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T02:31:09Z', 'updatedAt': '2022-10-26T02:31:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCK9fMLUEnukzrrAUr6yyZeg,2022-10-26T02:31:09Z,Esse é o nosso presidente,,2023-06-09 12:23:26.144260
